0.7237201717105748,5.338144072590032	0.17529219866951806,6.174341871191582	-0.6609055999320317,5.625913898150525	-0.11247762689097496,4.789716099548976	
-4.232392544683076,1.6661731355706602	-4.984190860558943,1.0067800113676468	-4.324797736355929,0.25498169549178007	-3.572999420480063,0.9143748196947936	
-3.3944554054709464,7.544208824197455	-3.095340775999019,6.589991637999328	-2.1411235898008916,6.889106267471256	-2.4402382192728194,7.843323453669383	
-2.6385692893034323,8.928892470099381	-2.0619519558056,9.745906821692945	-2.8789663073991627,10.322524155190775	-3.455583640896995,9.505509803597214	
-3.197564689077713,4.0136759559684725	-2.853074497687767,3.074886039088174	-1.914284580807468,3.41937623047812	-2.2587747721974143,4.3581661473584195	
-1.1230701552662055,13.378952786397722	-1.7222474263441079,14.179569172580042	-2.522863812526428,13.58039190150214	-1.9236865414485256,12.77977551531982	
-1.7846702029850068,11.200000779504364	-2.655807406166134,10.708961093497456	-2.1647677201592246,9.837823890316328	-1.2936305169780975,10.328863576323238	
-4.210678385237099,8.724500137058826	-3.674697182391712,7.672734498983878	-2.6229315443167645,8.208715701829265	-3.158912747162151,9.260481339904212	
-3.41014890948402,11.772621443797131	-4.028303179214791,10.986564639988641	-3.2422463754063005,10.368410370257871	-2.62409210567553,11.154467174066362	
-1.7421983591320336,12.569668138167529	-2.5331575739003536,11.957799262857563	-1.9212886985903885,11.166840048089243	-1.1303294838220674,11.77870892339921	
-2.7209633975324428,1.7005311197839692	-3.1425930956352044,2.607299225573853	-4.049361201425088,2.1856695274710916	-3.6277315033223267,1.2789014216812076	
-1.1559554453045227,13.824145965101057	-0.45955036607451283,14.541794880395049	-1.1771992813685048,15.238199959625058	-1.8736043605985147,14.520551044331066	
-1.7338406259478214,6.837459799031389	-2.376021700789895,5.846959786737866	-1.3855216884963744,5.204778711895791	-0.7433406136542989,6.195278724189315	
-1.017762439677881,9.567184667119559	-2.0122372976073937,9.672159697227082	-2.117212327714917,8.67768483929757	-1.1227374697854042,8.572709809190046	
3.8636338076732226,2.8899200110298384	3.115628827246576,2.2262268972664576	3.779321941009957,1.4782219168398112	4.527326921436604,2.141915030603192	
0.121422129759992,3.6430417751587454	-0.3785470221985661,3.1430109290203894	0.12148382393979039,2.643041777061831	0.6214529758983478,3.143072623200187	
1.8748240378618561,-0.4404007495813742	2.2671469710020933,0.14788720383280296	1.6788590175879163,0.5402101369730401	1.286536084447679,-0.0480778164411369	
-1.71100794158599,5.39458530656069	-2.4650153501062606,4.737719393381641	-1.8081494369272122,3.9837119848613702	-1.0541420284069414,4.640577898040419	
8.679856559405176,6.5585250247205815	9.120559697733514,7.111499476090221	8.567585246363874,7.552202614418559	8.126882108035536,6.999228163048921	
-2.2140367755356785,7.374380186434489	-1.2203122803841038,7.4862355740371775	-1.332167667986793,8.479960069188753	-2.3258921631383678,8.368104681586063	
-2.1965452914274737,14.004730607446998	-1.8052514075496342,14.924996382340206	-2.7255171824428417,15.316290266218045	-3.116811066320681,14.396024491324837	
-0.031992201774812656,13.116003790154494	-0.8652721060952312,13.66885512736528	-1.4181234433060173,12.835575223044861	-0.5848435389855986,12.282723885834075	
8.436211142506375,6.299855739315583	8.357748134966787,5.597115704560309	9.06048816972206,5.5186526970207215	9.13895117726165,6.221392731775995	
-2.0826083952702747,15.452152545398999	-1.635447657567868,14.904386833933376	-1.0876819461022453,15.351547571635782	-1.5348426838046523,15.899313283101407	
-1.9753602726880368,12.573882958753046	-2.6538681079259243,13.308476123382826	-3.3884612725557046,12.629968288144939	-2.709953437317817,11.895375123515159	
6.197130173548606,4.098633634508767	6.621125686184827,4.664520376944343	6.055238943749251,5.088515889580564	5.63124343111303,4.522629147144988	
-8.054173919282054,10.571206033304748	-7.4147518751819055,10.873099142730567	-7.716644984607724,11.512521186830714	-8.356067028707873,11.210628077404895	
-5.182572812078023,8.347660172756544	-5.171111986117177,9.054674068990767	-5.8781258823514,9.066134894951611	-5.889586708312245,8.35912099871739	
0.5818317657799756,2.2435571178425464	1.265276145643481,2.062163127773995	1.446670135712032,2.7456075076375006	0.7632257558485265,2.9270014977060517	
6.264209788076974,3.6310882025075264	5.931819182271928,4.2552007606030635	5.307706624176391,3.922810154798018	5.6400972299814365,3.298697596702481	
4.135902155703143,-0.5980933218707905	3.752498834504559,-0.003953697460924999	3.1583592100946936,-0.38735701865950867	3.5417625312932772,-0.9814966430693741	
4.021270967078948,0.8515543747534324	3.314698045592733,0.879026299011402	3.287226121334764,0.1724533775251873	3.993799042820979,0.14498145326721779	
-2.058804961166481,2.5657158259589155	-2.521484223365009,3.1004380906266826	-3.0562064880327764,2.637758828428154	-2.593527225834248,2.103036563760387	
-5.945886048613297,10.537739020892651	-5.334447882396533,10.182572343270044	-4.979281204773926,10.794010509486808	-5.590719370990691,11.149177187109416	
7.266992463889327,4.75947065230292	7.707645965986609,4.206456646070347	8.260659972219182,4.647110148167628	7.820006470121901,5.200124154400203	
1.2139808761323714,7.071609798054584	0.9577943645133433,6.4125434347310755	1.6168607278368512,6.156356923112048	1.8730472394558793,6.815423286435555	
-3.915406349469814,3.097465482123586	-3.541388820719534,2.497373082415396	-2.9412964210113444,2.8713906111656766	-3.315313949761624,3.4714830108738663	
-7.33842003653444,10.532769965456964	-6.638284781651585,10.631818563983753	-6.737333380178374,11.331953818866607	-7.4374686350612285,11.232905220339818	
-4.244681221993735,11.021061571141566	-4.668170662962854,10.454796003242842	-4.101905095064133,10.031306562273723	-3.6784156540950126,10.597572130172447	
3.8425746742367917,4.719945675610397	3.919110306946538,5.4228982322781425	3.2161577502787924,5.499433864987888	3.139622117569046,4.796481308320143	
