0.3862636366968495,-9.438275962360883	2.356903526522563,-3.6835754119736004	-0.49367050958687975,-8.963180289675977	
-0.9679912124831969,-4.3858674068324035	1.156051715249745,-2.267273146208706	0.4498536283751786,-1.5592588369643914	-1.6741892993577627,-3.6778530975880894	
7.838274256902702,-8.035550092678124	7.279615786279745,-7.6020749339882405	7.091840818380134,-6.113874490018982	7.525315977070017,-5.555216019396025	6.533182347757178,-5.680399331329099	6.846140627589863,-8.160733404611198	
3.8969386367054,-5.367015284590756	4.310804424075666,-4.456677374776828	3.4004665142617387,-4.042811587406563	2.986600726891473,-4.9531494972204895	
-1.1430720299272927,-4.910878625811476	-0.6754454829314951,-5.441279806565052	-0.14504430217791875,-4.973653259569255	-0.6126708491737165,-4.443252078815678	
8.196904672942827,-5.965023363350125	7.806550358215746,-6.885688073749058	8.727215068614678,-7.276042388476139	9.11756938334176,-6.355377678077206	
2.0122018221225435,-5.262514206111071	1.9016414110684068,-6.256383611771362	2.895510816728698,-6.366944022825499	3.0060712277828348,-5.373074617165208	
4.747419925681315,-5.4550414481889815	4.86265885971669,-6.629863475272735	6.037480886800443,-6.51462454123736	5.922241952765069,-5.3398025141536065	
0.5120928147119574,2.557521990131704	-0.48607672148046677,2.6179998953318737	-0.5465546266806365,1.6198303591394494	0.45161490951178745,1.55935245393928	
-0.3801163378624679,-10.318951323089372	0.23718533892861793,-10.345002405937512	0.2632364217767583,-9.727700729146427	-0.3540652550143274,-9.701649646298286	
-1.2586777639652222,-2.740060117970673	-1.8969104963459527,-1.970216640815851	-2.666753973500775,-2.6084493731965814	-2.0285212411200444,-3.3782928503514036	
-2.9738696513748737,10.886865753090682	-2.8783180367165153,9.891441276329044	-1.8828935599548775,9.986992890987402	-1.9784451746132357,10.98241736774904	
-0.47216964107921555,-1.9875039687250382	-1.1393713752586463,-1.2426269010769864	-1.8842484429066981,-1.909828635256417	-1.2170467087272674,-2.6547057029044687	
-1.0891955952462613,3.784164759425595	-1.5356585115199906,3.447755983689352	-1.1992497357837475,3.001293067415623	-0.7527868195100185,3.3377018431518657	
