-1.1122361069511442,30.21535961341211	-1.4024909799380778,31.172308989663197	-2.359440356189162,30.88205411667626	-2.0691854832022285,29.925104740425176	
-11.462377992844878,69.1222020927083	-10.952510964924123,67.18828492440991	-9.018593796625733,67.69815195233068	-9.52846082454649,69.63206912062907	
-16.59918132257245,58.537823183936844	-17.615351528608922,70.74560341264197	-29.82313175731405,69.7294332066055	-28.806961551277574,57.521652977900374	
-35.22641833487833,85.87173496653679	-36.12479734011776,83.80886920189164	-34.06193157547261,82.91049019665222	-33.163552570233186,84.97335596129736	
-99.21519370855019,153.77405027483712	-94.29072226275235,152.90826682643805	-94.11756557307254,153.89316111559762	-99.04203701887037,154.7589445639967	
-95.45583602155777,161.92924582941305	-95.02385224080736,162.83112720363505	-95.92573361502937,163.26311098438546	-96.35771739577979,162.36122961016346	
-18.621230216574304,78.77285538932156	-21.25778989161238,75.7647740938837	-20.505769567752914,75.10563417512418	-17.86920989271484,78.11371547056204	
-22.92942629793879,78.0024910394628	-20.680633278470243,77.9288028070947	-20.606945046102148,80.17759582656325	-22.855738065570694,80.25128405893135	
-71.1400998946676,122.98256485356065	-86.58618648536343,137.20994722111956	-88.618669680729,135.00336342244873	-73.17258309003316,120.77598105488981	
10.798918952743662,44.55068439127984	5.058925640981928,48.55723861915827	1.0523714131034936,42.81724530739654	6.79236472486523,38.8106910795181	
-8.829001048766088,56.288261103715605	-8.886174652265378,54.28907847597423	-6.886992024524004,54.23190487247494	-6.829818421024713,56.23108750021631	
21.342795288302455,9.512745206382169	23.156866024577376,8.670636327560098	23.998974903399446,10.48470706383502	22.184904167124525,11.32681594265709	
-101.6307106732076,185.45235832687874	-100.61448082181776,186.55566104560293	-101.71778354054194,187.57189089699276	-102.7340133919318,186.4685881782686	
-42.11581198841968,101.11878741275645	-39.4601136718497,103.39853881397707	-41.73986507307032,106.05423713054705	-44.395563389640294,103.77448572932643	
-63.94345909836126,134.48275663851007	-62.96939096398606,134.7090115160151	-63.19564584149107,135.68307965039028	-64.16971397586627,135.45682477288528	
-74.52114952303273,153.06521952061593	-76.18158922587648,150.56663192094683	-73.68300162620739,148.9061922181031	-72.02256192336364,151.40477981777218	
-34.25552298081105,67.76847714202927	-35.234590639023196,67.56494208204455	-35.03105557903847,66.5858744238324	-34.05198792082633,66.78940948381712	
