6.5769876858095095,-11.414419480463346	5.602420010262392,-11.190326094173859	5.378326623972905,-12.164893769720976	6.352894299520021,-12.388987156010463	
15.400970079272632,5.99171727092693	16.54390751720339,5.485561155705276	17.050063632425044,6.628498593636034	15.907126194494285,7.1346547088576875	
-0.1561238291481608,12.155330256496999	-0.7665567285505858,12.947398230427993	-1.5586247024815794,12.336965331025567	-0.9481918030791543,11.544897357094573	
15.808148792811735,5.573400504227006	15.192238553892349,4.785584169289564	15.980054888829791,4.169673930370177	16.595965127749178,4.957490265307619	
11.516539789766767,3.1359377874296115	13.516370914866588,3.1619276139388903	13.49038108835731,5.161758739038712	11.49054996325749,5.135768912529433	
2.1386303684009,-6.142009186402079	2.6321160829922476,-7.011763088085922	3.50186998467609,-6.518277373494573	3.008384270084742,-5.648523471810732	
8.489147486923596,0.6922643632883414	9.275473810393681,1.3100757528062261	8.657662420875795,2.096402076276311	7.8713360974057105,1.4785906867584262	
21.317779261066754,10.901589767536372	21.25271764365723,9.403001436492767	22.751305974700838,9.337939819083246	22.81636759211036,10.83652815012685	
4.870986581822439,0.3904877399537554	4.276119851484997,-0.7088909814783271	5.375498572917079,-1.3037577118157697	5.970365303254522,-0.204378990383687	
-19.207985570243082,-13.098292173800811	-15.722419386489046,-11.13593940768807	-16.21300757801723,-10.264547861749561	-19.698573761771268,-12.226900627862301	
3.04752470800171,-18.681842970847313	2.8379422754185795,-17.704051989117303	1.8601512936885691,-17.913634421700433	2.0697337262716995,-18.891425403430443	
7.591470854847618,1.5845004472290647	5.67633830698655,1.0080741083763232	6.252764645839292,-0.9070584394847452	8.167897193700359,-0.3306321006320032	
18.117909335403894,7.836735236667199	18.97618393924144,7.323544527079134	19.489374648829507,8.181819130916683	18.631100044991957,8.695009840504746	
4.35489382023227,-14.961681347797676	6.215064844092555,-14.226995182152384	5.847721761269909,-13.296909670222242	3.9875507374096246,-14.031595835867533	
3.305897031255931,-15.92658520309734	4.299574398635839,-15.814311922407159	4.187301117945658,-14.820634555027251	3.19362375056575,-14.932907835717431	
6.909042464676862,-15.474288111068947	6.14496002600939,-14.829169496456123	5.499841411396566,-15.593251935123595	6.263923850064037,-16.23837054973642	
-0.8331933522778243,2.660401375939106	0.37059875579949364,1.0632524910411554	1.9677476406974446,2.2670445991184733	0.7639555326201264,3.8641934840164236	
2.603935062236701,15.318445205358852	1.978150339129554,14.53844938464844	2.7581461598399675,13.912664661541292	3.3839308829471144,14.692660482251705	
5.435104942155064,0.8510949268287575	6.266142515348612,1.407311208450016	5.709926233727353,2.2383487816435634	4.878888660533805,1.682132500022305	
9.584301593020712,1.7642978261015045	10.156564751944952,0.6529855941261478	11.267876983920308,1.2252487530503873	10.695613824996068,2.336560985025745	
10.553240454594093,3.852701005164146	6.698514664861419,2.7844832904777572	6.9655690935330155,1.8208018430445887	10.82029488326569,2.8890195577309776	
4.487123079595676,-8.518998787987837	3.624096969092646,-9.423258669100568	4.528356850205377,-10.286284779603598	5.391382960708408,-9.382024898490867	
2.1456039092771526,-0.153074405152406	2.694908720004033,-1.8146291664865926	4.356463481338221,-1.26532435575971	3.807158670611339,0.39623040557447564	
3.675792872600553,-18.29104780785316	4.672817385422201,-18.213962654725233	4.595732232294271,-17.216938141903583	3.5987077194726234,-17.294023295031515	
17.442287068147607,7.66960493851057	16.867779163644496,6.851105905118688	17.68627819703638,6.276598000615578	18.260786101539487,7.095097034007461	
4.227700240450442,14.92408521433163	4.140302688334689,15.920258727272108	3.1441291753942098,15.832861175156355	3.2315267275099635,14.836687662215876	
-9.24207681852935,-7.738963042340066	-8.328352328915207,-7.3326287500641465	-8.734686621191125,-6.418904260450002	-9.648411110805268,-6.825238552725922	
1.269600252278039,-4.909681498468673	1.4412281971868068,-5.894843337217208	2.426390035935341,-5.72321539230844	2.2547620910265733,-4.738053553559905	
