-1.3197185947438248,-2.871418845198395	-0.3197185947438248,-2.871418845198395	-0.3197185947438248,-1.871418845198395	-1.3197185947438248,-1.871418845198395	
4.104659407869149,-2.981580682186536	4.225979751428791,-2.981580682186536	4.225979751428791,-2.860260338626894	4.104659407869149,-2.860260338626894	
5.839621965360652,4.0712338631628615	6.839621965360652,4.0712338631628615	6.839621965360652,5.0712338631628615	5.839621965360652,5.0712338631628615	
6.2141846991074905,7.665022064353648	6.7141846991074905,7.665022064353648	6.7141846991074905,8.165022064353648	6.2141846991074905,8.165022064353648	
-2.9336566160921236,-1.9873790237532365	-1.9336566160921245,-1.9873790237532365	-1.9336566160921245,-0.9873790237532373	-2.9336566160921236,-0.9873790237532373	
-2.7432364437146046,2.903700733140882	-1.7432364437146046,2.903700733140882	-1.7432364437146046,3.903700733140882	-2.7432364437146046,3.903700733140882	
-2.475824833752023,13.015969868509922	-1.4758248337520237,13.015969868509922	-1.4758248337520237,14.015969868509922	-2.475824833752023,14.015969868509922	
8.380273604722582,0.3030002076648781	9.498307593472477,0.3030002076648781	9.498307593472477,1.421034196414773	8.380273604722582,1.421034196414773	
1.127381314293804,10.7102803178605	1.8344880954803515,10.7102803178605	1.8344880954803515,11.417387099047048	1.127381314293804,11.417387099047048	
-2.886656640556389,4.978760000009734	-2.386656640556389,4.978760000009734	-2.386656640556389,5.478760000009734	-2.886656640556389,5.478760000009734	
5.960426463407409,-5.110601176399246	6.667533244593956,-5.110601176399246	6.667533244593956,-4.403494395212699	5.960426463407409,-4.403494395212699	
-2.435993346621621,-11.914217141299728	-1.728886565435073,-11.914217141299728	-1.728886565435073,-11.20711036011318	-2.435993346621621,-11.20711036011318	
6.577225658826024,2.1817940775989886	7.077225658826024,2.1817940775989886	7.077225658826024,2.681794077598988	6.577225658826024,2.681794077598988	
5.510851218786679,0.5782842674090212	6.217957999973227,0.5782842674090212	6.217957999973227,1.2853910485955689	5.510851218786679,1.2853910485955689	
-1.59932859172679,4.5937706132424	-0.8922218105402424,4.5937706132424	-0.8922218105402424,5.300877394428948	-1.59932859172679,5.300877394428948	
8.728338980792117,4.913015893071721	9.228338980792117,4.913015893071721	9.228338980792117,5.41301589307172	8.728338980792117,5.41301589307172	
8.693796094717428,-6.73507485962236	9.400902875903977,-6.73507485962236	9.400902875903977,-6.027968078435811	8.693796094717428,-6.027968078435811	
5.8709616116948995,3.15638520110223	5.988995600444793,3.15638520110223	5.988995600444793,3.274419189852123	5.8709616116948995,3.274419189852123	
-1.412673300571333,0.41097764452931784	-0.9984597381982379,0.41097764452931784	-0.9984597381982379,0.825191206902413	-1.412673300571333,0.825191206902413	
-2.695370358058075,1.0378382850637706	-1.6953703580580748,1.0378382850637706	-1.6953703580580748,2.0378382850637706	-2.695370358058075,2.0378382850637706	
-2.817915042870058,8.095933569716584	-1.817915042870058,8.095933569716584	-1.817915042870058,9.095933569716584	-2.817915042870058,9.095933569716584	
5.795286006891614,5.3576469485274725	6.795286006891613,5.3576469485274725	6.795286006891613,6.357646948527472	5.795286006891614,6.357646948527472	
-1.6380948126262362,-0.6549557886229156	-0.6172975232300888,-0.6549557886229156	-0.6172975232300888,0.36584150077323185	-1.6380948126262362,0.36584150077323185	
-0.7892134702527169,9.451456890722385	-0.6711794815028213,9.451456890722385	-0.6711794815028213,9.56949087947228	-0.7892134702527169,9.56949087947228	
-2.6145331615258254,5.540759603089006	-1.6145331615258254,5.540759603089006	-1.6145331615258254,6.540759603089006	-2.6145331615258254,6.540759603089006	
3.5852648476255515,-4.242399957852836	3.6060621370217,-4.242399957852836	3.6060621370217,-4.221602668456688	3.5852648476255515,-4.221602668456688	
8.440671220401512,-1.1856726093909575	9.440671220401512,-1.1856726093909575	9.440671220401512,-0.18567260939095753	8.440671220401512,-0.18567260939095753	
-2.5030695511063477,10.002198968842913	-1.5030695511063477,10.002198968842913	-1.5030695511063477,11.002198968842913	-2.5030695511063477,11.002198968842913	
4.60305777154741,-1.690443938795088	4.724378115107052,-1.690443938795088	4.724378115107052,-1.5691235952354459	4.60305777154741,-1.5691235952354459	
-2.7581872848621316,11.51678394527165	-1.7581872848621316,11.51678394527165	-1.7581872848621316,12.51678394527165	-2.7581872848621316,12.51678394527165	
-0.6415381096243342,-1.352830313012193	-0.14153810962433422,-1.352830313012193	-0.14153810962433422,-0.852830313012193	-0.6415381096243342,-0.852830313012193	
5.84044384943808,-0.6565296117859578	6.8404438494380795,-0.6565296117859578	6.8404438494380795,0.3434703882140414	5.84044384943808,0.3434703882140414	
5.2220124423052345,-1.8548598895022739	6.2220124423052345,-1.8548598895022739	6.2220124423052345,-0.8548598895022739	5.2220124423052345,-0.8548598895022739	
9.518450059196564,-1.4975261985505277	10.518450059196564,-1.4975261985505277	10.518450059196564,-0.4975261985505285	9.518450059196564,-0.4975261985505285	
-2.9010265129353128,-0.7248180967546016	-1.7829925241854179,-0.7248180967546016	-1.7829925241854179,0.3932158919952933	-2.9010265129353128,0.3932158919952933	
3.082252387072919,-12.149673114597562	3.7893591682594665,-12.149673114597562	3.7893591682594665,-11.442566333411014	3.082252387072919,-11.442566333411014	
8.07467142595035,-6.209248769864997	8.57467142595035,-6.209248769864997	8.57467142595035,-5.709248769864997	8.07467142595035,-5.709248769864997	
8.634368894507094,2.234537589339224	9.341475675693642,2.234537589339224	9.341475675693642,2.9416443705257715	8.634368894507094,2.9416443705257715	
4.1444878381429815,-4.033341134730396	4.851594619329529,-4.033341134730396	4.851594619329529,-3.326234353543848	4.1444878381429815,-3.326234353543848	
-0.040786064664911414,10.604520999744073	0.45921393533508825,10.604520999744073	0.45921393533508825,11.104520999744073	-0.040786064664911414,11.104520999744073	
6.374722533756533,2.7639457776988845	7.081829314943081,2.7639457776988845	7.081829314943081,3.4710525588854324	6.374722533756533,3.4710525588854324	
-1.7634278617166625,-1.6945731305004799	-1.0563210805301149,-1.6945731305004799	-1.0563210805301149,-0.9874663493139322	-1.7634278617166625,-0.9874663493139322	
-1.441132600754452,10.94571512305823	-0.9411326007544528,10.94571512305823	-0.9411326007544528,11.44571512305823	-1.441132600754452,11.44571512305823	
-4.4895974694189436,-11.615672305574172	-3.7824906882323948,-11.615672305574172	-3.7824906882323948,-10.908565524387623	-4.4895974694189436,-10.908565524387623	
7.678506581302519,-1.5322088460456325	7.796540570052412,-1.5322088460456325	7.796540570052412,-1.4141748572957398	7.678506581302519,-1.4141748572957398	
0.0822650080568259,6.705338729400742	0.49647857042992105,6.705338729400742	0.49647857042992105,7.119552291773837	0.0822650080568259,7.119552291773837	
5.3899623545695645,1.4491685817251483	6.3899623545695645,1.4491685817251483	6.3899623545695645,2.4491685817251483	5.3899623545695645,2.4491685817251483	
8.507938961730577,3.372493764870791	9.507938961730577,3.372493764870791	9.507938961730577,4.372493764870791	8.507938961730577,4.372493764870791	
6.319906387168337,6.41412374553096	7.340703676564484,6.41412374553096	7.340703676564484,7.4349210349271075	6.319906387168337,7.4349210349271075	
-0.2350509071609439,-11.843388156729956	-0.1170169184110482,-11.843388156729956	-0.1170169184110482,-11.725354167980061	-0.2350509071609439,-11.725354167980061	
-2.8910270763976893,6.750999474011495	-1.8910270763976893,6.750999474011495	-1.8910270763976893,7.750999474011495	-2.8910270763976893,7.750999474011495	
8.188031794869186,-6.449306838411159	8.208829084265334,-6.449306838411159	8.208829084265334,-6.428509549015011	8.188031794869186,-6.428509549015011	
-2.9983614349943353,2.5926652320245314	-2.8770410914346933,2.5926652320245314	-2.8770410914346933,2.7139855755841733	-2.9983614349943353,2.7139855755841733	
-1.7637454816108686,7.842072931401516	-1.2637454816108686,7.842072931401516	-1.2637454816108686,8.342072931401516	-1.7637454816108686,8.342072931401516	
6.842948613070059,7.707933935641703	7.550055394256606,7.707933935641703	7.550055394256606,8.415040716828251	6.842948613070059,8.415040716828251	
9.757298366692488,0.8161733732536636	10.257298366692488,0.8161733732536636	10.257298366692488,1.3161733732536636	9.757298366692488,1.3161733732536636	
2.294761334290862,-12.385286949422921	3.0018681154774094,-12.385286949422921	3.0018681154774094,-11.678180168236374	2.294761334290862,-11.678180168236374	
0.7276666657124302,-12.370051751940391	1.4347734468989783,-12.370051751940391	1.4347734468989783,-11.662944970753843	0.7276666657124302,-11.662944970753843	
2.4972371176082584,10.684711425441405	2.997237117608258,10.684711425441405	2.997237117608258,11.184711425441405	2.4972371176082584,11.184711425441405	
-1.638343990151724,3.8213609156118142	-0.9312372089651764,3.8213609156118142	-0.9312372089651764,4.528467696798362	-1.638343990151724,4.528467696798362	
-0.31112266865377425,-2.7210638239274125	0.39598411253277344,-2.7210638239274125	0.39598411253277344,-2.0139570427408646	-0.31112266865377425,-2.0139570427408646	
6.609376615305735,1.557109072967263	7.1093766153057345,1.557109072967263	7.1093766153057345,2.057109072967262	6.609376615305735,2.057109072967262	
-1.8075652436188916,8.580726961302021	-1.1004584624323428,8.580726961302021	-1.1004584624323428,9.287833742488571	-1.8075652436188916,9.287833742488571	
6.662226205591627,8.619659489558929	6.78026019434152,8.619659489558929	6.78026019434152,8.737693478308822	6.662226205591627,8.737693478308822	
0.47557607140339897,14.721818800116766	0.8897896337764941,14.721818800116766	0.8897896337764941,15.136032362489862	0.47557607140339897,15.136032362489862	
-5.900992527658997,-11.276769150257635	-4.900992527658997,-11.276769150257635	-4.900992527658997,-10.276769150257635	-5.900992527658997,-10.276769150257635	
-0.5571842412343049,8.660656209619232	-0.4391502524844092,8.660656209619232	-0.4391502524844092,8.778690198369127	-0.5571842412343049,8.778690198369127	
-0.45446270710688275,-11.409998215659048	-0.4336654177107346,-11.409998215659048	-0.4336654177107346,-11.3892009262629	-0.45446270710688275,-11.3892009262629	
-2.169212879212682,12.59119213675824	-2.04789253565304,12.59119213675824	-2.04789253565304,12.712512480317882	-2.169212879212682,12.712512480317882	
-3.555304907843496,-11.491887005563163	-3.055304907843496,-11.491887005563163	-3.055304907843496,-10.991887005563163	-3.555304907843496,-10.991887005563163	
10.940459581722255,-8.532939429517741	11.940459581722255,-8.532939429517741	11.940459581722255,-7.532939429517742	10.940459581722255,-7.532939429517742	
9.775490192953185,-0.48000295802368065	10.482596974139733,-0.48000295802368065	10.482596974139733,0.2271038231628667	9.775490192953185,0.2271038231628667	
6.227949856977369,-1.6489134541662462	6.727949856977369,-1.6489134541662462	6.727949856977369,-1.1489134541662462	6.227949856977369,-1.1489134541662462	
-0.9710448886785743,14.929548692906108	-0.26393810749202695,14.929548692906108	-0.26393810749202695,15.636655474092656	-0.9710448886785743,15.636655474092656	
-2.454843634259291,4.163597831269582	-1.747736853072743,4.163597831269582	-1.747736853072743,4.87070461245613	-2.454843634259291,4.87070461245613	
-1.8823976932245898,-2.2562323377823006	-1.3823976932245903,-2.2562323377823006	-1.3823976932245903,-1.756232337782301	-1.8823976932245898,-1.756232337782301	
-1.4887151609270388,-11.903361534134369	-0.7816083797404911,-11.903361534134369	-0.7816083797404911,-11.196254752947821	-1.4887151609270388,-11.196254752947821	
8.414553067181277,1.4312320950325361	9.121659848367825,1.4312320950325361	9.121659848367825,2.138338876219084	8.414553067181277,2.138338876219084	
-2.5055501897794046,9.353627925088487	-2.0055501897794055,9.353627925088487	-2.0055501897794055,9.853627925088487	-2.5055501897794046,9.853627925088487	
5.204950208158384,-4.475353371064246	5.912056989344933,-4.475353371064246	5.912056989344933,-3.7682465898776973	5.204950208158384,-3.7682465898776973	
6.438129324786128,1.4566796208167734	6.556163313536021,1.4566796208167734	6.556163313536021,1.574713609566666	6.438129324786128,1.574713609566666	
-2.73484798981787,0.5568377324364118	-2.3206344274447748,0.5568377324364118	-2.3206344274447748,0.9710512948095069	-2.73484798981787,0.9710512948095069	
-1.5309191183008748,3.553115383825995	-1.412885129550979,3.553115383825995	-1.412885129550979,3.671149372575891	-1.5309191183008748,3.671149372575891	
4.541549430783005,-2.3787393459920683	4.5623467201791525,-2.3787393459920683	4.5623467201791525,-2.35794205659592	4.541549430783005,-2.35794205659592
