102.43022217724163,178.02207390509784	129.11676289222353,178.02207390509784	129.11676289222353,204.70861462007974	102.43022217724163,204.70861462007974	
434.5987091546509,170.6082148902338	461.2852498696328,170.6082148902338	461.2852498696328,197.2947556052157	434.5987091546509,197.2947556052157	
475.5150438657538,160.2259859153771	502.2015845807357,160.2259859153771	502.2015845807357,186.912526630359	475.5150438657538,186.912526630359	
512.2915724601605,81.18934507006479	519.5716823494411,81.18934507006479	519.5716823494411,88.46945495934531	512.2915724601605,88.46945495934531	
311.19715527135486,140.76333798379773	362.67530597628985,140.76333798379773	362.67530597628985,192.24148868873272	311.19715527135486,192.24148868873272	
398.42046067853124,111.60682486858406	425.10700139351314,111.60682486858406	425.10700139351314,138.29336558356596	398.42046067853124,138.29336558356596	
421.9779570555464,61.45466224700799	448.6644977705283,61.45466224700799	448.6644977705283,88.14120296198989	421.9779570555464,88.14120296198989	
402.0367228745881,175.9119076449202	428.72326358957,175.9119076449202	428.72326358957,202.5984483599021	402.0367228745881,202.5984483599021	
324.0796871629247,111.68499463605598	328.0796871629247,111.68499463605598	328.0796871629247,115.68499463605598	324.0796871629247,115.68499463605598	
87.23554198530047,84.82054146448358	113.92208270028237,84.82054146448358	113.92208270028237,111.50708217946548	87.23554198530047,111.50708217946548	
134.05875083161905,143.03532814104003	141.8690005075257,143.03532814104003	141.8690005075257,150.84557781694667	134.05875083161905,150.84557781694667	
358.7493506798731,64.14868230569647	385.435891394855,64.14868230569647	385.435891394855,90.83522302067837	358.7493506798731,90.83522302067837	
98.86480779729436,61.253226220887456	112.90047664491256,61.253226220887456	112.90047664491256,75.28889506850565	98.86480779729436,75.28889506850565	
322.38654185461877,89.96729749230091	329.38654185461877,89.96729749230091	329.38654185461877,96.96729749230091	322.38654185461877,96.96729749230091	
391.2848397822234,67.10692708788947	411.3845910244652,67.10692708788947	411.3845910244652,87.20667833013125	391.2848397822234,87.20667833013125	
329.81501297743284,83.27401237941991	356.50155369241475,83.27401237941991	356.50155369241475,109.96055309440182	329.81501297743284,109.96055309440182	
396.3098006858184,142.13327584617167	422.9963414008003,142.13327584617167	422.9963414008003,168.81981656115357	396.3098006858184,168.81981656115357	
424.3264221099847,155.91807023460987	431.60653199926526,155.91807023460987	431.60653199926526,163.19818012389038	424.3264221099847,163.19818012389038	
228.25820481601284,148.9657539876642	233.25820481601284,148.9657539876642	233.25820481601284,153.9657539876642	228.25820481601284,153.9657539876642	
460.44563809920203,86.45077682870507	487.13217881418393,86.45077682870507	487.13217881418393,113.13731754368698	460.44563809920203,113.13731754368698	
475.3185700390444,147.1572138884969	483.1288197149511,147.1572138884969	483.1288197149511,154.96746356440354	475.3185700390444,154.96746356440354	
303.91703042041024,53.31719064926473	330.60357113539214,53.31719064926473	330.60357113539214,80.00373136424663	303.91703042041024,80.00373136424663	
366.9905907437251,133.1999367283696	393.677131458707,133.1999367283696	393.677131458707,159.8864774433515	366.9905907437251,159.8864774433515	
279.58833201666675,175.4087602622064	306.27487273164866,175.4087602622064	306.27487273164866,202.09530097718832	279.58833201666675,202.09530097718832	
183.01125790243975,125.14499564124438	188.11027741603255,125.14499564124438	188.11027741603255,130.24401515483717	183.01125790243975,130.24401515483717	
152.07305675407198,124.59819828304856	178.7595974690539,124.59819828304856	178.7595974690539,151.28473899803046	152.07305675407198,151.28473899803046	
430.6645780416218,213.12864027142993	440.0985591736784,213.12864027142993	440.0985591736784,222.56262140348653	430.6645780416218,222.56262140348653	
267.94186084557066,103.78729752527381	294.62840156055256,103.78729752527381	294.62840156055256,130.47383824025573	267.94186084557066,130.47383824025573	
530.8824241600297,165.47332904937554	536.8824241600297,165.47332904937554	536.8824241600297,171.47332904937554	530.8824241600297,171.47332904937554	
481.4643823213099,65.96184795843476	489.9496636955485,65.96184795843476	489.9496636955485,74.44712933267333	481.4643823213099,74.44712933267333	
440.53339206825467,140.78185734872537	467.2199327832366,140.78185734872537	467.2199327832366,167.46839806370727	440.53339206825467,167.46839806370727	
504.233161590461,152.47692128294955	525.233161590461,152.47692128294955	525.233161590461,173.47692128294955	504.233161590461,173.47692128294955	
421.37359217991207,216.5638677935917	429.97591744695467,216.5638677935917	429.97591744695467,225.16619306063433	421.37359217991207,225.16619306063433	
10.52758820413817,272.74295659299923	16.52758820413817,272.74295659299923	16.52758820413817,278.74295659299923	10.52758820413817,278.74295659299923	
334.9712333412016,71.84601282660688	341.0539958714998,71.84601282660688	341.0539958714998,77.9287753569051	334.9712333412016,77.9287753569051	
469.4866167867798,206.95509120033702	473.60972241239745,206.95509120033702	473.60972241239745,211.07819682595468	469.4866167867798,211.07819682595468	
195.0369105942857,112.40227010507589	221.7234513092676,112.40227010507589	221.7234513092676,139.0888108200578	195.0369105942857,139.0888108200578	
517.2943558470719,109.66605959907223	521.4174614726895,109.66605959907223	521.4174614726895,113.78916522468988	517.2943558470719,113.78916522468988	
60.334872029148386,0.170540871188944	71.99677581883898,0.170540871188944	71.99677581883898,11.832444660879545	60.334872029148386,11.832444660879545	
86.40066648344418,123.90238809333047	113.08720719842609,123.90238809333047	113.08720719842609,150.58892880831237	86.40066648344418,150.58892880831237	
351.41144729130986,199.82461715167977	378.09798800629176,199.82461715167977	378.09798800629176,226.51115786666168	351.41144729130986,226.51115786666168	
75.64111132233016,125.1034576102652	79.64111132233016,125.1034576102652	79.64111132233016,129.1034576102652	75.64111132233016,129.1034576102652	
467.460093509544,175.21286440391142	472.5591130231367,175.21286440391142	472.5591130231367,180.31188391750422	467.460093509544,180.31188391750422	
119.13992999122166,256.6558950344673	125.84813392372104,256.6558950344673	125.84813392372104,263.36409896696665	119.13992999122166,263.36409896696665	
497.5513845506589,75.68691688860056	503.5513845506589,75.68691688860056	503.5513845506589,81.68691688860056	497.5513845506589,81.68691688860056	
